name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage
A. Jerrold Perenchio,Perenchio,a-jerrold-perenchio,a-jerrold-perenchio,0,86,"television, Univision",Media & Entertainment,M,United States,"Founder & Owner, Chartwell Leisure",1488028803343,CA,California,2839.428,719,719,http://specials-images.forbesimg.com/imageserve/57e1245e4bbe6f6781c5289f/416x416.jpg?background=000000&cropX1=61&cropX2=686&cropY1=116&cropY2=741
Abdulla Al Futtaim,Al Futtaim,abdulla-al-futtaim,abdulla-al-futtaim,-5.426,,"auto dealers, investments",Automotive,M,United Arab Emirates,,1488028803343,,,4071.452,444,444,
Abdulla bin Ahmad Al Ghurair & family,Al Ghurair,abdulla-bin-ahmad-al-ghurair,abdulla-bin-ahmad-al-ghurair,0,,diversified,Diversified,M,United Arab Emirates,,1488028803343,,,6817.232,210,210,
Abdullah Al Rajhi & family,Al Rajhi,abdullah-al-rajhi,no-pic,0.002,,banking,Finance and Investments,M,Saudi Arabia,,1488028803344,,,1889.169,1122,1122,
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,72,automobiles,Automotive,M,India,,1488028803343,,,2000.889,1048,1048,http://specials-images.forbesimg.com/imageserve/57d88e824bbe6f6781c4f0d1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=139&cropY2=883
Abigail Johnson,Johnson,abigail-johnson,abigail-johnson,0,55,money management,Finance and Investments,F,United States,"President-CEO, Fidelity Investments",1488028803343,MA,Massachusetts,14495.547,77,77,http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621
Abilio dos Santos Diniz,Diniz,abilio-dos-santos-diniz,abilio-dos-santos-diniz,-13.95,80,retail,Fashion & Retail,M,Brazil,,1488028803343,,,3318.047,591,591,
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,57,air coolers,Manufacturing,M,India,,1488028803344,,,1307.418,1558,1558,
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,37,WeWork,Real Estate,M,Israel,,1488028803343,NY,New York,2500,837,837,
Adi Godrej,Godrej,adi-godrej,adi-godrej,0,74,consumer goods,Diversified,M,India,,1488028803343,,,2548.497,806,806,
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,46,cosmetics,Fashion & Retail,F,United States,,1488028803344,NY,New York,1561.233,1339,1339,
Ahmet Calik,Calik,ahmet-calik,ahmet-calik,0,58,"energy, banking, construction",Diversified,M,Turkey,,1488028803344,,,1415.408,1446,1446,
Ahmet Nazif Zorlu,Zorlu,ahmet-nazif-zorlu,ahmet-nazif-zorlu,-3.09,72,diversified,Diversified,M,Turkey,,1488028803344,,,1282.58,1582,1582,
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,54,"refinery, chemicals",Energy,M,Russia,,1488028803344,,,1111.565,1748,1748,
Ajay Kalsi,Kalsi,ajay-kalsi,ajay-kalsi,-20.876,56,oil & gas,Energy,M,India,,1488028803344,,,1164.945,1695,1695,http://specials-images.forbesimg.com/imageserve/f1c1ff9778a03817c0d1e06535d75074/416x416.jpg?background=000000&cropX1=0&cropX2=372&cropY1=28&cropY2=400
Ajay Piramal,Piramal,ajay-piramal,ajay-piramal,0,61,pharmaceuticals,Healthcare,M,India,,1488028803343,,,3766.384,509,509,http://specials-images.forbesimg.com/imageserve/57d888f24bbe6f6781c4f091/416x416.jpg?background=000000&cropX1=122&cropX2=729&cropY1=142&cropY2=750
Akio Nitori,Nitori,akio-nitori,akio-nitori,-12.081,73,home furnishings,Fashion & Retail,M,Japan,,1488028803343,,,3167.684,628,628,
Akira Mori & family,Mori,akira-mori,akira-mori,0,80,real estate,Real Estate,M,Japan,,1488028803343,,,4439.914,392,392,
Alain Bouchard,Bouchard,alain-bouchard,alain-bouchard,-40.608,68,retail,Fashion & Retail,M,Canada,"Chairman and CEO, Alimentation Couche Tard Inc. Cl A",1488028803343,,,3236.601,609,609,
Alain Merieux & family,Merieux,alain-merieux,alain-merieux,-84.962,79,pharmaceuticals,Healthcare,M,France,,1488028803343,,,3905.05,468,468,
Alain Taravella,Taravella,alain-taravella,alain-taravella,10.146,69,real estate,Real Estate,M,France,,1488028803344,,,1476.746,1404,1404,
Alain Wertheimer,Wertheimer,alain-wertheimer,alain-wertheimer,0,68,Chanel,Fashion & Retail,M,France,,1488028803343,NY,New York,11749.655,113,113,
Alan Gerry,Gerry,alan-gerry,alan-gerry,0,87,cable television,Media & Entertainment,M,United States,,1488028803344,NY,New York,1490.44,1392,1392,
Alan Howard,Howard,alan-howard,alan-howard,0,53,hedge funds,Finance and Investments,M,United Kingdom,"Founder, Brevan Howard Asset Management",1488028803344,,,1440,1431,1431,
Alan Rydge,Rydge,alan-rydge,alan-rydge,12.861,64,entertainment,Real Estate,M,Australia,,1488028803344,,,1026.564,1828,1828,
Albert Berner & family,Berner,albert-berner,albert-berner,0,81,fasteners,Manufacturing,M,Germany,,1488028803344,,,1486.391,1396,1396,
Albert Frere,Frere,albert-frere,albert-frere,0,91,investments,Finance and Investments,M,Belgium,,1488028803343,,,4892.365,340,340,
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,62,"refinery, chemicals",Diversified,M,Russia,,1488028803344,,,1050.303,1803,1803,
Albert Yeung,Yeung,albert-yeung,albert-yeung,-1.991,73,"real estate, retail",Diversified,M,Hong Kong,,1488028803344,,,1571.696,1331,1331,http://specials-images.forbesimg.com/imageserve/5877c8e14bbe6f1f20eacfbf/416x416.jpg?background=000000&cropX1=69&cropX2=634&cropY1=24&cropY2=590
Alberto Alcocer,Alcocer,alberto-alcocer,alberto-alcocer,-3.639,74,investments,Finance and Investments,M,Spain,,1488028803344,,,1201.423,1663,1663,
Alberto Bailleres Gonzalez & family,Bailleres Gonzalez,alberto-bailleres-gonzalez,alberto-bailleres-gonzalez,-247.533,85,mining,Metals & Mining,M,Mexico,,1488028803343,,,11118.324,120,120,
Alberto Cortina,Cortina,alberto-cortina,alberto-cortina,-3.639,71,investments,Finance and Investments,M,Spain,,1488028803344,,,1139.14,1720,1720,
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,,luxury goods,Fashion & Retail,M,Italy,,1488028803344,,,1342.986,1515,1515,
Alberto Roemmers,Roemmers,alberto-roemmers,no-pic,0,90,pharmaceuticals,Healthcare,M,Argentina,,1488028803343,,,2032.049,1032,1032,
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,78,shoes,Fashion & Retail,M,Canada,,1488028803344,,,1004.172,1845,1845,
Alec Gores,Gores,alec-gores,alec-gores,0,63,private equity,Finance and Investments,M,United States,,1488028803343,CA,California,2067.4,1011,1011,http://specials-images.forbesimg.com/imageserve/57e193eb31358e16c589c03a/416x416.jpg?background=000000&cropX1=0&cropX2=654&cropY1=98&cropY2=752
Alejandro Bulgheroni,Bulgheroni,alejandro-bulgheroni,no-pic,0,,oil & gas,Energy,M,Argentina,,1488028803343,,,3323.83,590,590,
Alejandro Santo Domingo,Santo Domingo,alejandro-santo-domingo,alejandro-santo-domingo,-11.4,40,beer,Food and Beverage,M,United States,,1488028803343,NY,New York,4751.805,351,351,http://specials-images.forbesimg.com/imageserve/57e063c74bbe6f6781c525e8/416x416.jpg?background=000000&cropX1=8&cropX2=615&cropY1=23&cropY2=631
Alex Beard,Beard,alex-beard,alex-beard,-15.102,49,"mining, commodities",Metals & Mining,M,United Kingdom,,1488028803344,,,1504.534,1379,1379,
Alexander Abramov,Abramov,alexander-abramov,alexander-abramov,-35.793,58,"steel, mining",Metals & Mining,M,Russia,,1488028803343,,,4462.503,387,387,
Alexander Dzhaparidze,Dzhaparidze,alexander-dzhaparidze,alexander-dzhaparidze,0,61,oil services,Energy,M,Russia,,1488028803344,,,1294,1566,1566,
Alexander Frolov,Frolov,alexander-frolov,alexander-frolov,-14.945,52,"mining, steel",Metals & Mining,M,Russia,,1488028803344,,,1789.108,1190,1190,
Alexander Karp,Karp,alexander-karp,alexander-karp,0,49,software firm,Technology,M,United States,"Cofounder and CEO, Palantir Technologies",1488028803344,CA,California,1600,1300,1300,http://specials-images.forbesimg.com/imageserve/5706c3e1e4b01d5c586fec75/416x416.jpg?background=000000&cropX1=61&cropX2=520&cropY1=44&cropY2=503
Alexander Machkevich,Machkevich,alexander-machkevich,alexander-machkevich,0,63,"mining, metals",Metals & Mining,M,Israel,,1488028803343,,,1945.999,1092,1092,
Alexander Mamut,Mamut,alexander-mamut,alexander-mamut,-8.608,57,investments,Finance and Investments,M,Russia,,1488028803343,,,2511.559,833,833,
Alexander Nesis,Nesis,alexander-nesis,alexander-nesis,-6.891,54,"metals, banking, fertilizers",Finance and Investments,M,Russia,,1488028803343,,,2452.931,861,861,
Alexander Ponomarenko,Ponomarenko,alexander-ponomarenko,alexander-ponomarenko,0,52,ports,Logistics,M,Russia,,1488028803343,,,3010,673,673,
Alexander Rovt,Rovt,alexander-rovt,alexander-rovt,0,64,"fertilizer, real estate",Manufacturing,M,United States,,1488028803344,NY,New York,1291.6,1568,1568,
Alexander Skorobogatko,Skorobogatko,alexander-skorobogatko,alexander-skorobogatko,0,49,ports,Logistics,M,Russia,,1488028803343,,,3010,673,674,
Alexander Spanos & family,Spanos,alexander-spanos,alexander-spanos,0,93,"real estate, San Diego Chargers",Sports,M,United States,"Owner, San Diego Chargers",1488028803343,CA,California,2413.85,878,878,http://specials-images.forbesimg.com/imageserve/3592a67d690ae764a8d815ef56d2fcd8/416x416.jpg?background=000000&cropX1=89&cropX2=669&cropY1=74&cropY2=654
Alexander Svetakov,Svetakov,alexander-svetakov,alexander-svetakov,0,49,"banking, real estate",Finance and Investments,M,Russia,,1488028803343,,,3266.964,604,604,
Alexander Vik,Vik,alexander-vik,alexander-vik,0,62,investments,Finance and Investments,M,Norway,,1488028803344,,,1000,1847,1847,
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,20,investments,Diversified,F,Norway,,1488028803344,,,1216.919,1642,1642,
Alexandra Daitch,Daitch,alexandra-daitch,no-pic-female,0,54,Cargill,Food and Beverage,F,United States,,1488028803344,CT,Connecticut,1872.849,1131,1131,
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,58,real estate,Real Estate,F,Germany,,1488028803343,,,3493.677,558,558,
Alexandre Grendene Bartelle,Grendene Bartelle,alexandre-grendene-bartelle,alexandre-grendene-bartelle,3.003,67,shoes,Fashion & Retail,M,Brazil,,1488028803343,,,2065.755,1013,1013,
Alexandre Soares dos Santos & family,Soares dos Santos,alexandre-soares-dos-santos,alexandre-soares-dos-santos,-32.729,82,supermarkets,Fashion & Retail,M,Portugal,,1488028803343,,,2545.391,809,809,
Alexei Ananyev,Ananyev,alexei-ananyev,alexei-ananyev,0.373,52,"banking, IT, real estate",Diversified,M,Russia,,1488028803344,,,1395.705,1468,1468,
Alexei Bogachev,Bogachev,alexei-bogachev,alexei-bogachev,-13.92,46,"retail, banking",Diversified,M,Russia,,1488028803344,,,1012.9,1839,1839,
Alexei Kuzmichev,Kuzmichev,alexei-kuzmichev,alexei-kuzmichev,-37.068,54,"oil, banking, telecom",Energy,M,Russia,,1488028803343,,,7158.238,199,199,
Alexey Mordashov,Mordashov,alexey-mordashov,alexey-mordashov,-307.588,51,"steel, investments",Metals & Mining,M,Russia,,1488028803343,,,17251.649,53,53,
Alfred Gantner,Gantner,alfred-gantner,no-pic,-13.295,48,private equity,Finance and Investments,M,Switzerland,,1488028803344,,,1823.963,1166,1166,
Alfred Oetker,Oetker,alfred-oetker,alfred-oetker,0,50,consumer goods,Fashion & Retail,M,Germany,,1488028803343,,,1967.707,1069,1069,
Alfredo Egydio Arruda Villela Filho,Egydio Arruda Villela Filho,alfredo-egydio-arruda-villela-filho,no-pic,-17.991,47,banking,Finance and Investments,M,Brazil,,1488028803343,,,1906.28,1117,1117,
Alfredo Harp Helu & family,Harp Helu,alfredo-harp-helu,alfredo-harp-helu,-0.056,72,banking,Finance and Investments,M,Mexico,,1488028803344,,,1264.995,1603,1603,
Ali Ibrahim Agaoglu,Agaoglu,ali-ibrahim-agaoglu,ali-ibrahim-agaoglu,0,62,construction,Construction & Engineering,M,Turkey,,1488028803344,,,1015.474,1838,1838,
Alice Walton,Walton,alice-walton,alice-walton,443.041,67,Wal-Mart,Fashion & Retail,F,United States,"Chairman, Crystal Bridges Museum of American Art",1488028803343,TX,Texas,35336.043,17,17,http://specials-images.forbesimg.com/imageserve/57e5735da7ea430a8a1a2b8b/416x416.jpg?background=000000&cropX1=129&cropX2=590&cropY1=21&cropY2=482
Alicia Koplowitz,Koplowitz,alicia-koplowitz,alicia-koplowitz,-6.093,62,"construction, investments",Finance and Investments,F,Spain,,1488028803343,,,2446.336,865,865,
Alijan Ibragimov,Ibragimov,alijan-ibragimov,alijan-ibragimov,0,63,"mining, metals",Metals & Mining,M,Kazakhstan,,1488028803343,,,2043.459,1024,1024,
Aliko Dangote,Dangote,aliko-dangote,aliko-dangote,0,59,"cement, sugar, flour",Manufacturing,M,Nigeria,"CEO, Dangote Group",1488028803343,,,12176.717,109,109,
Alisher Usmanov,Usmanov,alisher-usmanov,alisher-usmanov,27.689,63,"steel, telecom, investments",Metals & Mining,M,Russia,"Founder, Metalloinvest",1488028803343,,,15303.458,68,68,
Allan Goldman,Goldman,allan-goldman,no-pic,0,73,real estate,Real Estate,M,United States,,1488028803343,NY,New York,3027.465,668,668,
Allan Gray,Gray,allan-gray,allan-gray,0,79,money management,Finance and Investments,M,South Africa,,1488028803343,,,1906.591,1116,1116,
Allan Wong,Wong,allan-wong,allan-wong,0.357,66,electronics,Manufacturing,M,Hong Kong,,1488028803344,,,1334.012,1534,1534,
Aloke Lohia,Lohia,aloke-lohia,aloke-lohia,34.253,58,petrochemicals,Manufacturing,M,India,,1488028803344,,,1697.848,1238,1238,http://specials-images.forbesimg.com/imageserve/57487bf6a7ea4353698e3776/416x416.jpg?background=000000&cropX1=221&cropX2=524&cropY1=164&cropY2=467
Aloys Wobben,Wobben,aloys-wobben,aloys-wobben,0,65,wind turbines,Energy,M,Germany,,1488028803343,,,7582.688,184,184,
Aloysio de Andrade Faria,Faria,aloysio-de-andrade-faria,no-pic,0,96,banking,Finance and Investments,M,Brazil,,1488028803343,,,2453.073,860,860,
Alvaro Saieh Bendeck,Saieh Bendeck,alvaro-saieh-bendeck,alvaro-saieh-bendeck,-1.555,67,banking,Finance and Investments,M,Chile,,1488028803343,,,2481.762,847,847,
Amancio Ortega,Ortega,amancio-ortega,amancio-ortega,-508.929,80,Zara,Fashion & Retail,M,Spain,,1488028803343,,,69481.877,4,4,
Americo Amorim,Amorim,americo-amorim,americo-amorim,3.074,82,"energy, investments",Diversified,M,Portugal,,1488028803343,,,4369.153,404,404,
Amos Hostetter Jr,Hostetter,amos-hostetter-jr,amos-hostetter-jr,4.271,80,cable television,Media & Entertainment,M,United States,"Chair, Pilot House Associates",1488028803343,MA,Massachusetts,3193.783,619,619,http://specials-images.forbesimg.com/imageserve/0aadc81d2d5d3c9b51f90832509528a6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823
Amy Goldman Fowler,Goldman Fowler,amy-goldman-fowler,no-pic-female,0,62,real estate,Real Estate,F,United States,,1488028803343,NY,New York,3046.4,662,662,http://specials-images.forbesimg.com/imageserve/57e117464bbe6f6781c52862/416x416.jpg?background=000000&cropX1=50&cropX2=744&cropY1=56&cropY2=751
Amy Wyss,Wyss,amy-wyss,amy-wyss,0,46,medical equipment,Healthcare,F,United States,,1488028803344,WY,Wyoming,1849.35,1150,1150,http://specials-images.forbesimg.com/imageserve/55fb1546e4b0ffa7afe4b467/416x416.jpg?background=000000&cropX1=137&cropX2=610&cropY1=50&cropY2=524
An Kang,An,an-kang,an-kang,29.966,68,pharmaceuticals,Healthcare,M,China,,1488028803344,,Henan,1830.735,1159,1159,//specials-images.forbesimg.com/imageserve/56c70b58e4b062f6b59a18a0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=13&cropY2=757
Ana Lucia de Mattos Barretto Villela,de Mattos Barretto Villela,ana-lucia-de-mattos-barretto-villela,no-pic-female,-17.244,43,banking,Finance and Investments,F,Brazil,,1488028803344,,,1745.63,1220,1220,
Ana Maria Brescia Cafferata,Brescia Cafferata,ana-maria-brescia-cafferata,no-pic-female,0,92,"mining, banking",Diversified,F,Peru,,1488028803344,,,1450,1421,1421,
Ana Maria Marcondes Penido Sant'Anna,Marcondes Penido Sant'Anna,ana-maria-marcondes-penido-santanna,no-pic-female,6.193,61,toll roads,Construction & Engineering,F,Brazil,,1488028803344,,,1484.775,1397,1397,
Anand Burman,Burman,anand-burman-1,anand-burman-1,0,64,consumer goods,Food and Beverage,M,India,,1488028803344,,,1411.061,1453,1453,
Anand Mahindra,Mahindra,anand-mahindra,anand-mahindra,0,61,automobiles,Automotive,M,India,,1488028803344,,,1317.887,1547,1547,
Ananda Krishnan,Krishnan,ananda-krishnan,ananda-krishnan,-80.681,78,telecom,Telecom,M,Malaysia,,1488028803343,,,6526.704,225,225,
Anas Sefrioui,Sefrioui,anas-sefrioui,anas-sefrioui,1.988,59,real estate,Real Estate,M,Morocco,,1488028803344,,,1044.054,1810,1810,
Anatoly Lomakin,Lomakin,anatoly-lomakin,anatoly-lomakin,0,64,fertilizers,Metals & Mining,M,Russia,,1488028803344,,,1425,1443,1443,
Anders Holch Povlsen,Povlsen,anders-holch-povlsen,anders-holch-povlsen,-10.202,44,fashion retail,Fashion & Retail,M,Denmark,,1488028803343,,,6395.612,230,230,
Andre Esteves,Esteves,andre-esteves,andre-esteves,-0.274,48,banking,Finance and Investments,M,Brazil,,1488028803344,,,1653.861,1264,1264,
Andrea Della Valle,Della Valle,andrea-della-valle,andrea-della-valle,-6.217,51,shoes,Fashion & Retail,M,Italy,,1488028803344,,,1106.366,1751,1751,
Andrea Reimann-Ciardelli,Reimann-Ciardelli,andrea-reimann-ciardelli,no-pic-female,0,60,consumer goods,Fashion & Retail,F,United States,,1488028803344,NH,New Hampshire,1066,1786,1786,
Andreas Halvorsen,Halvorsen,andreas-halvorsen,andreas-halvorsen,0,55,hedge funds,Finance and Investments,M,Norway,"Founding Partner & Chief Executive Officer, Viking Global Investors",1488028803343,CT,Connecticut,3135,635,635,http://specials-images.forbesimg.com/imageserve/56bde5cbe4b062f6b599bbb8/416x416.jpg?background=000000&cropX1=169&cropX2=588&cropY1=26&cropY2=445
Andreas Struengmann,Struengmann,andreas-struengmann,andreas-struengmann,0,67,pharmaceuticals,Healthcare,M,Germany,,1488028803343,,,3121.491,641,641,
Andreas von Bechtolsheim & family,von Bechtolsheim,andreas-von-bechtolsheim,andreas-von-bechtolsheim,29.9,61,Google,Technology,M,Germany,"Cofounder, Chief Development Officer and Chairman, Arista Networks",1488028803343,CA,California,4522.19,378,378,http://specials-images.forbesimg.com/imageserve/56c9c892e4b062f6b59a2ba8/416x416.jpg?background=000000&cropX1=74&cropX2=665&cropY1=145&cropY2=736
Andrei Guriev,Guriev,andrei-guriev,andrei-guriev,-88.158,56,fertilizers,Manufacturing,M,Russia,,1488028803343,,,4502.83,380,380,
Andrei Kosogov,Kosogov,andrei-kosogov,andrei-kosogov,-1.626,55,"oil, banking, telecom",Energy,M,Russia,,1488028803344,,,1188.048,1672,1672,
Andrei Kozitsyn,Kozitsyn,andrei-kozitsyn,andrei-kozitsyn,0,56,metals,Metals & Mining,M,Russia,,1488028803343,,,4313.748,411,411,
Andrei Molchanov,Molchanov,andrei-molchanov,andrei-molchanov,69.506,45,construction materials,Construction & Engineering,M,Russia,,1488028803344,,,1361.572,1498,1498,
Andrei Rappoport,Rappoport,andrei-rappoport,andrei-rappoport,0,53,investments,Finance and Investments,M,Russia,,1488028803344,,,1119.773,1739,1739,
Andrei Skoch,Skoch,andrei-skoch,andrei-skoch,17.306,51,steel,Metals & Mining,M,Russia,,1488028803343,,,6934.532,204,204,
Andrej Babis,Babis,andrej-babis,andrej-babis,0,62,agriculture,Food and Beverage,M,Czech Republic,,1488028803343,,,3339.003,588,588,
Andres Santo Domingo,Santo Domingo,andres-santo-domingo,andres-santo-domingo,-11.4,38,beer,Food and Beverage,M,United States,,1488028803343,NY,New York,4751.805,351,352,http://specials-images.forbesimg.com/imageserve/57e064194bbe6f6781c525eb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=34&cropY2=778
Andrew Beal,Beal,andrew-beal,andrew-beal,0,64,"banks, real estate",Finance and Investments,M,United States,,1488028803343,TX,Texas,10398.521,128,128,
Andrew Currie,Currie,andrew-currie,no-pic,0,61,chemicals,Manufacturing,M,United Kingdom,,1488028803343,,,3012.338,670,670,
Andrew Forrest,Forrest,andrew-forrest,andrew-forrest,-184.335,55,mining,Metals & Mining,M,Australia,,1488028803343,,,5530.897,287,287,
Andrew & Peggy Cherng,Cherng,andrew-peggy-cherng,andrew-peggy-cherng,-0.864,,restaurants,Food and Beverage,,United States,,1488028803343,NV,Nevada,3115.546,643,643,http://specials-images.forbesimg.com/imageserve/57d80a5a4bbe6f6781c4e59f/416x416.jpg?background=000000&cropX1=23&cropX2=724&cropY1=81&cropY2=782
Andrew Tan,Tan,andrew-tan,andrew-tan,-4.693,64,diversified,Diversified,M,Philippines,,1488028803343,,,2449.113,864,864,http://specials-images.forbesimg.com/imageserve/e8b1186ea9e21c1c570036b328515e57/416x416.jpg?background=000000&cropX1=144&cropX2=414&cropY1=27&cropY2=297
Andrey Melnichenko,Melnichenko,andrey-melnichenko,andrey-melnichenko,1.884,44,"coal, fertilizers",Energy,M,Russia,,1488028803343,,,13448.739,85,85,
Aneel Bhusri,Bhusri,aneel-bhusri,aneel-bhusri,15.153,51,business software,Technology,M,United States,"CEO and Cofounder, Workday",1488028803344,CA,California,1295.456,1564,1564,
Angela Leong,Leong,angela-leong,angela-leong,-4.305,55,casinos,Gambling & Casinos,F,Hong Kong,,1488028803343,,,4073.762,442,442,http://specials-images.forbesimg.com/imageserve/5877bfe631358e698add50e8/416x416.jpg?background=000000&cropX1=24&cropX2=609&cropY1=24&cropY2=609
Anil Agarwal,Agarwal,anil-agarwal,anil-agarwal,-109.409,63,"mining, metals",Metals & Mining,M,India,,1488028803343,,,2863.656,712,712,http://specials-images.forbesimg.com/imageserve/57d88d534bbe6f6781c4f0cb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=134&cropY2=878
Anil Ambani,Ambani,anil-ambani,anil-ambani,0.001,57,diversified,Diversified,M,India,,1488028803343,,,2830.835,721,721,http://specials-images.forbesimg.com/imageserve/57d8886231358e16c5898f9e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
Anita Zucker,Zucker,anita-zucker,no-pic-female,0.334,65,chemicals,Manufacturing,F,United States,,1488028803343,SC,South Carolina,2939.966,693,693,http://specials-images.forbesimg.com/imageserve/57e124e131358e16c589bb77/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=0&cropY2=744
Ann Walton Kroenke,Kroenke,ann-walton-kroenke,ann-walton-kroenke,59.4,68,Wal-Mart,Fashion & Retail,F,United States,,1488028803343,MO,Missouri,6253.45,238,238,http://specials-images.forbesimg.com/imageserve/d5242b8b4379e926c18797a1c2138840/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=300&cropY2=1044
Anna Maria Braun,Braun,anna-maria-braun,no-pic-female,0,38,medical technology,Healthcare,F,Germany,,1488028803344,,,1150.514,1701,1701,
Anne Beaufour,Beaufour,anne-beaufour,no-pic-female,7.235,53,pharmaceuticals,Healthcare,F,France,,1488028803343,,,2054.609,1018,1018,
Anne Gittinger,Gittinger,anne-gittinger,no-pic-female,52.682,81,Nordstrom department stores,Fashion & Retail,F,United States,,1488028803344,WA,Washington,1241.268,1621,1621,
Anthony Bamford & family,Bamford,anthony-bamford,anthony-bamford,0,71,construction equipment,Construction & Engineering,M,United Kingdom,,1488028803343,,,2893.68,700,700,
Anthony Langley,Langley,anthony-langley,anthony-langley,0,62,manufacturing,Diversified,M,United Kingdom,,1488028803344,,,1450.493,1420,1420,
Anthony Pratt,Pratt,anthony-pratt,anthony-pratt,0,56,manufacturing,Manufacturing,M,Australia,,1488028803343,,,4445.122,391,391,
Anthony Pritzker,Pritzker,anthony-pritzker,anthony-pritzker,3.774,56,"hotels, investments",Service,M,United States,,1488028803343,CA,California,3411.42,571,571,http://specials-images.forbesimg.com/imageserve/55faa478e4b0ffa7afe4ae6a/416x416.jpg?background=000000&cropX1=13&cropX2=651&cropY1=77&cropY2=715
Antonia Johnson,Johnson,antonia-johnson,antonia-johnson,5.622,73,diversified,Diversified,F,Sweden,,1488028803343,,,5528.157,288,288,
Antonio Del Valle Ruiz & family,Del Valle Ruiz,antonio-del-valle-ruiz,antonio-del-valle-ruiz,3.641,78,chemicals,Manufacturing,M,Mexico,,1488028803343,,,3097.411,648,648,
Antonio Luiz Seabra,Seabra,antonio-luiz-seabra,antonio-luiz-seabra,16.585,74,cosmetics,Fashion & Retail,M,Brazil,,1488028803344,,,1331.213,1539,1539,
Antony Ressler,Ressler,antony-ressler,antony-ressler,13.156,55,finance,Finance and Investments,M,United States,,1488028803343,CA,California,1931.473,1100,1100,
Antti Aarnio-Wihuri,Aarnio-Wihuri,antti-aarnio-wihuri,no-pic,-18.796,77,diversified,Diversified,M,Finland,,1488028803343,,,1932.468,1097,1097,
Antti Herlin,Herlin,antti-herlin,antti-herlin,-3.952,60,"elevators, escalators",Manufacturing,M,Finland,,1488028803343,,,3527.382,550,550,
Ao Xiaoqiang,Ao,ao-xiaoqiang,no-pic,4.926,52,electrical equipment,Manufacturing,M,China,,1488028803344,,Beijing,1025.299,1831,1831,
Aras Agalarov,Agalarov,aras-agalarov,aras-agalarov,0,61,real estate,Fashion & Retail,M,Russia,,1488028803344,,,1738.178,1221,1221,
Archie Aldis Emmerson & family,Emmerson,archie-aldis-emmerson,archie-aldis-emmerson,0,87,"timberland, lumber mills",Manufacturing,M,United States,,1488028803343,CA,California,3664.404,532,532,http://specials-images.forbesimg.com/imageserve/b0fbe22d9c0799e3c6bb9ca811c78752/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=37&cropY2=637
Aristotelis Mistakidis,Mistakidis,aristotelis-mistakidis,no-pic,-21.754,55,"mining, commodities",Metals & Mining,M,Greece,,1488028803343,,,2182.558,960,960,
Arkady Rotenberg,Rotenberg,arkady-rotenberg,arkady-rotenberg,0,65,"construction, pipes, banking",Construction & Engineering,M,Russia,,1488028803343,,,2647.317,776,776,
Arkady Volozh,Volozh,arkady-volozh,arkady-volozh,-5.513,53,search engine,Media & Entertainment,M,Russia,,1488028803344,,,1038.56,1818,1818,
Arne Wilhelmsen & family,Wilhelmsen,arne-wilhelmsen,arne-wilhelmsen,14.183,86,cruise ships,Logistics,M,Norway,,1488028803343,,,2868.712,710,710,
Arnon Milchan,Milchan,arnon-milchan,arnon-milchan,0,72,movie making,Media & Entertainment,M,Israel,,1488028803343,,,5231.238,313,313,
Arthur Blank,Blank,arthur-blank,arthur-blank,13.668,74,Home Depot,Sports,M,United States,"Chairman, Atlanta Falcons",1488028803343,GA,Georgia,3374.329,579,579,http://specials-images.forbesimg.com/imageserve/57e1120ea7ea430a8a1a0906/416x416.jpg?background=000000&cropX1=110&cropX2=712&cropY1=56&cropY2=659
Arthur Irving,Irving,arthur-irving,arthur-irving,0,87,oil,Energy,M,Canada,,1488028803343,,New Brunswick,4495.817,383,383,
