name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,72,automobiles,Automotive,M,India,1488028203331,2000.889,1048,1048,http://specials-images.forbesimg.com/imageserve/57d88e824bbe6f6781c4f0d1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=139&cropY2=883
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,57,air coolers,Manufacturing,M,India,1488028203332,1307.418,1558,1558,
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,37,WeWork,Real Estate,M,Israel,1488028203331,2500,837,837,
Albert Berner & family,Berner,albert-berner,albert-berner,0,81,fasteners,Manufacturing,M,Germany,1488028203332,1486.391,1396,1396,
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,,luxury goods,Fashion & Retail,M,Italy,1488028203332,1342.986,1515,1515,
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,78,shoes,Fashion & Retail,M,Canada,1488028203332,1004.172,1845,1845,
Alexander Karp,Karp,alexander-karp,alexander-karp,0,49,software firm,Technology,M,United States,1488028203332,1600,1300,1300,http://specials-images.forbesimg.com/imageserve/5706c3e1e4b01d5c586fec75/416x416.jpg?background=000000&cropX1=61&cropX2=520&cropY1=44&cropY2=503
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,20,investments,Diversified,F,Norway,1488028203332,1216.919,1642,1642,
Alexandra Daitch,Daitch,alexandra-daitch,no-pic-female,0,54,Cargill,Food and Beverage,F,United States,1488028203332,1872.849,1131,1131,
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,58,real estate,Real Estate,F,Germany,1488028203331,3493.677,558,558,
Alfred Gantner,Gantner,alfred-gantner,no-pic,-13.295,48,private equity,Finance and Investments,M,Switzerland,1488028203332,1823.963,1166,1166,
Allan Goldman,Goldman,allan-goldman,no-pic,0,73,real estate,Real Estate,M,United States,1488028203331,3027.465,668,668,
Amy Goldman Fowler,Goldman Fowler,amy-goldman-fowler,no-pic-female,0,62,real estate,Real Estate,F,United States,1488028203331,3046.4,662,662,http://specials-images.forbesimg.com/imageserve/57e117464bbe6f6781c52862/416x416.jpg?background=000000&cropX1=50&cropX2=744&cropY1=56&cropY2=751
Amy Wyss,Wyss,amy-wyss,amy-wyss,0,46,medical equipment,Healthcare,F,United States,1488028203332,1849.35,1150,1150,http://specials-images.forbesimg.com/imageserve/55fb1546e4b0ffa7afe4b467/416x416.jpg?background=000000&cropX1=137&cropX2=610&cropY1=50&cropY2=524
Anand Burman,Burman,anand-burman-1,anand-burman-1,0,64,consumer goods,Food and Beverage,M,India,1488028203332,1411.061,1453,1453,
Anand Mahindra,Mahindra,anand-mahindra,anand-mahindra,0,61,automobiles,Automotive,M,India,1488028203332,1317.887,1547,1547,
Andres Santo Domingo,Santo Domingo,andres-santo-domingo,andres-santo-domingo,-11.4,38,beer,Food and Beverage,M,United States,1488028203331,4751.805,351,352,http://specials-images.forbesimg.com/imageserve/57e064194bbe6f6781c525eb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=34&cropY2=778
Andrew Currie,Currie,andrew-currie,no-pic,0,61,chemicals,Manufacturing,M,United Kingdom,1488028203331,3012.338,670,670,
Anna Maria Braun,Braun,anna-maria-braun,no-pic-female,0,38,medical technology,Healthcare,F,Germany,1488028203332,1150.514,1701,1701,
Anthony Langley,Langley,anthony-langley,anthony-langley,0,62,manufacturing,Diversified,M,United Kingdom,1488028203332,1450.493,1420,1420,
Antony Ressler,Ressler,antony-ressler,antony-ressler,13.156,55,finance,Finance and Investments,M,United States,1488028203332,1931.473,1100,1100,
Antti Aarnio-Wihuri,Aarnio-Wihuri,antti-aarnio-wihuri,no-pic,-18.796,77,diversified,Diversified,M,Finland,1488028203331,1932.468,1097,1097,
Ao Xiaoqiang,Ao,ao-xiaoqiang,no-pic,4.926,52,electrical equipment,Manufacturing,M,China,1488028203332,1025.299,1831,1831,
Azad Moopen,Moopen,azad-moopen,azad-moopen,0,63,healthcare,Healthcare,M,India,1488028203332,1026,1830,1830,http://specials-images.forbesimg.com/imageserve/57d990b54bbe6f6781c4fb29/416x416.jpg?background=000000&cropX1=2&cropX2=545&cropY1=66&cropY2=609
B. Wayne Hughes Jr,Hughes,b-wayne-hughes-jr,b-wayne-hughes-jr,6.478,56,storage facilities,Real Estate,M,United States,1488028203332,1320.134,1546,1546,http://specials-images.forbesimg.com/imageserve/57e11ce9a7ea430a8a1a093c/416x416.jpg?background=000000&cropX1=21&cropX2=676&cropY1=53&cropY2=709
Balkrishan Goenka,Goenka,balkrishan-goenka,balkrishan-goenka,0,50,textiles,Manufacturing,M,India,1488028203332,1397.693,1464,1464,//specials-images.forbesimg.com/imageserve/55f8ca6be4b0ffa7afe49fbf/416x416.jpg?background=000000&cropX1=184&cropX2=601&cropY1=48&cropY2=465
Beate Heister & Karl Albrecht Jr.,Albrecht Jr.,beate-heister-karl-albrecht-jr,no-pic,0,,supermarkets,Fashion & Retail,,Germany,1488028203331,26780.98,26,26,
Beda Diethelm,Diethelm,beda-diethelm,no-pic,1.323,76,hearing aids,Healthcare,M,Switzerland,1488028203332,1055.333,1798,1798,
Ben Silbermann,Silbermann,ben-silbermann,ben-silbermann,0,34,Pinterest,Technology,M,United States,1488028203332,1570,1334,1334,
Bernard Fraisse,Fraisse,bernard-fraisse,no-pic,0,60,pharmaceuticals,Healthcare,M,France,1488028203331,2315.63,909,909,
Bernhard Braun-Luedicke,Braun-Luedicke,bernhard-braun-luedicke,no-pic,0,40,medical technology,Healthcare,M,Germany,1488028203332,1340.642,1522,1522,
Bhadresh Shah,Shah,bhadresh-shah,bhadresh-shah,0,65,engineering,Manufacturing,M,India,1488028203332,1333.712,1535,1535,
Bharat Desai,Desai,bharat-desai,bharat-desai,-13.092,64,IT consulting,Technology,M,United States,1488028203332,1029.432,1826,1826,http://specials-images.forbesimg.com/imageserve/73371aed5d8a47d09f73069801fb7c45/416x416.jpg?background=000000&cropX1=182&cropX2=537&cropY1=60&cropY2=415
Bill Alfond,Alfond,bill-alfond,no-pic,0.762,68,shoes,Fashion & Retail,M,United States,1488028203332,1439.74,1432,1432,
Bill Haslam,Haslam,bill-haslam,bill-haslam,0,58,truck stops,Fashion & Retail,M,United States,1488028203331,2613.609,788,788,http://specials-images.forbesimg.com/imageserve/57e0786531358e16c589ba0b/416x416.jpg?background=000000&cropX1=26&cropX2=725&cropY1=37&cropY2=736
Billy Kan,Kan,billy-kan,billy-kan,-15.468,64,"finance, energy",Energy,M,Hong Kong,1488028203332,1029.487,1825,1825,
Bobby Murphy,Murphy,bobby-murphy,bobby-murphy,0,28,Snapchat,Technology,M,United States,1488028203331,4032,452,452,http://specials-images.forbesimg.com/imageserve/57e19e64a7ea430a8a1a0f0d/416x416.jpg?background=000000&cropX1=242&cropX2=730&cropY1=155&cropY2=643
Brandt Louie,Louie,brandt-louie,brandt-louie,0,73,drugstores,Food and Beverage,M,Canada,1488028203331,1960.482,1080,1080,
Brian Chesky,Chesky,brian-chesky,brian-chesky,0,35,Airbnb,Technology,M,United States,1488028203331,3800,495,495,http://specials-images.forbesimg.com/imageserve/57e0868d31358e16c589ba4e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=153&cropY2=897
Brian Sheth,Sheth,brian-sheth,brian-sheth,0,41,investments,Finance and Investments,M,United States,1488028203332,1100,1758,1758,
Bruno Steinhoff,Steinhoff,bruno-steinhoff,no-pic,-17.634,79,furniture,Fashion & Retail,M,Germany,1488028203332,1169.257,1691,1691,
Bryan Sheffield,Sheffield,bryan-sheffield,no-pic,-19.043,38,oil & gas,Energy,M,United States,1488028203332,1170.157,1690,1690,http://specials-images.forbesimg.com/imageserve/584ebc984bbe6f1f20e8d080/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=84&cropY2=828
Bubba Cathy,Cathy,bubba-cathy,bubba-cathy,0,62,Chick-Fil-A,Food and Beverage,M,United States,1488028203331,3814.849,490,490,http://specials-images.forbesimg.com/imageserve/5601a7bae4b0ffa7afe4f31b/416x416.jpg?background=000000&cropX1=43&cropX2=624&cropY1=27&cropY2=609
Cao Longxiang & family,Cao,cao-longxiang,no-pic,30.388,59,pharmaceuticals,Healthcare,M,China,1488028203331,2919.376,695,695,http://specials-images.forbesimg.com/imageserve/56c68eb1e4b062f6b59a1458/416x416.jpg?background=000000&cropX1=159&cropX2=634&cropY1=305&cropY2=780
Cargill MacMillan III,MacMillan,cargill-macmillan-iii,no-pic,0,57,Cargill,Food and Beverage,M,United States,1488028203332,1239.254,1623,1623,
Carl Cook,Cook,carl-cook,carl-cook,0,54,medical devices,Healthcare,M,United States,1488028203331,7470.983,188,188,http://specials-images.forbesimg.com/imageserve/25d1399bdf56ecfab4f15f040e20fbe0/416x416.jpg?background=000000&cropX1=118&cropX2=619&cropY1=68&cropY2=569
Carlos Sanchez,Sanchez,carlos-sanchez,carlos-sanchez,0,55,generic drugs,Healthcare,M,Brazil,1488028203332,1787.778,1193,1193,
Caroline Hagen Kjos,Hagen Kjos,caroline-hagen-kjos,caroline-hagen-kjos,-9.754,33,conglomerate,Diversified,F,Norway,1488028203331,2510.4,835,835,
Carolus Nolet Sr,Nolet,carolus-nolet-sr,no-pic,-0.099,76,Ketel One vodka,Food and Beverage,M,Netherlands,1488028203331,2463.18,852,852,
Chan Tan Ching-fen,Chan,chan-tan-ching-fen,no-pic-female,-19.434,,real estate,Real Estate,F,Hong Kong,1488028203331,2273.408,932,932,
Chang Yun Chung,Chang,chang-yun-chung,no-pic,-0.245,98,shipping,Logistics,M,Singapore,1488028203332,1799.181,1185,1185,
Charles Cohen,Cohen,charles-cohen,no-pic,0,65,real estate,Real Estate,M,United States,1488028203331,2800,731,731,http://specials-images.forbesimg.com/imageserve/57e573b9a7ea430a8a1a2b94/416x416.jpg?background=000000&cropX1=119&cropX2=638&cropY1=47&cropY2=566
Charles Edelstenne,Edelstenne,charles-edelstenne,charles-edelstenne,-7.61,79,aviation,Manufacturing,M,France,1488028203332,1315.033,1551,1551,
Charlotte Soderstrom,Soderstrom,charlotte-soderstrom,no-pic-female,-62.071,40,H&M,Fashion & Retail,F,Sweden,1488028203331,2109.058,991,991,
Che Jianxing & family,Che,che-jianxing,che-jianxing,24.971,50,furniture retailing,Fashion & Retail,M,China,1488028203331,3525.738,554,554,
Chen Baozhen,Chen,chen-baozhen,no-pic-female,0,74,internet services,Technology,F,China,1488028203332,1076.305,1780,1780,
Chen Hua & family,Chen,chen-hua-1,chen-hua-1,-1.416,51,real estate,Real Estate,M,China,1488028203332,1927.796,1102,1102,
Chen Jiancheng,Chen,chen-jiancheng,chen-jiancheng,2.766,58,manufacturing,Manufacturing,M,China,1488028203332,1022.644,1835,1835,
Chen Qingzhou & family,Chen,chen-qingzhou,no-pic,86.196,51,communications equipment,Telecom,M,China,1488028203332,1698.5,1235,1235,
Cheng Xianfeng,Cheng,cheng-xianfeng,no-pic,-46.271,48,pharmaceuticals,Healthcare,M,China,1488028203332,1205.851,1654,1654,
Cheng Xue,Cheng,cheng-xue,no-pic-female,2.969,46,soy sauce,Food and Beverage,F,China,1488028203332,1114.983,1744,1744,
Chey Ki-Won,Chey,chey-ki-won,chey-ki-won,-6.924,52,"computer services, telecom",Technology,F,South Korea,1488028203332,1028.905,1827,1827,
Chin Jong Hwa,Chin,chin-jong-hwa,chin-jong-hwa,-34.258,58,auto parts,Automotive,M,Taiwan,1488028203332,1587.825,1319,1319,
Chirayu Amin,Amin,chirayu-amin,chirayu-amin,0,70,pharmaceuticals,Healthcare,M,India,1488028203332,1073.975,1781,1781,
Cho Jung-Ho,Cho,cho-jung-ho,cho-jung-ho,12.557,58,finance,Finance and Investments,M,South Korea,1488028203332,1098.473,1763,1763,http://specials-images.forbesimg.com/imageserve/571a75804bbe6f6f9574db1b/416x416.jpg?background=000000&cropX1=111&cropX2=599&cropY1=27&cropY2=515
Chris Sacca,Sacca,chris-sacca,chris-sacca,-0.182,41,venture capital investing,Finance and Investments,M,United States,1488028203332,1203.789,1660,1660,
Christoph Zeller,Zeller,christoph-zeller,no-pic,0,59,dental implants,Healthcare,M,Liechtenstein,1488028203331,2654.867,773,773,
Chu Jinfu,Chu,chu-jinfu,no-pic,5.4,59,electrical equipment,Manufacturing,M,China,1488028203332,1229.264,1632,1632,
Chua Thian Poh,Chua,chua-thian-poh,chua-thian-poh,4.61,68,real estate,Real Estate,M,Singapore,1488028203332,1456.656,1416,1416,http://specials-images.forbesimg.com/imageserve/579b3c5a31358e154fde1289/416x416.jpg?background=000000&cropX1=143&cropX2=465&cropY1=332&cropY2=654
Clemens Toennies,Toennies,clemens-toennies,clemens-toennies,0,60,meat processing,Food and Beverage,M,Germany,1488028203331,2396.709,882,882,
Cui Lijie,Cui,cui-lijie,no-pic-female,12.014,58,gambling,Gambling & Casinos,F,Hong Kong,1488028203332,1674.022,1248,1248,
Dan Cathy,Cathy,dan-cathy,dan-cathy,0,63,Chick-Fil-A,Food and Beverage,M,United States,1488028203331,3814.849,490,491,http://specials-images.forbesimg.com/imageserve/5601a7fbe4b0ffa7afe4f321/416x416.jpg?background=000000&cropX1=76&cropX2=632&cropY1=81&cropY2=637
Daniel Tsai,Tsai,daniel-tsai,daniel-tsai,-3.327,60,finance,Finance and Investments,M,Taiwan,1488028203331,3092.926,649,649,
Daniel Tsai & family,Tsai,daniel-tsai-1,no-pic,-9.984,,finance,Finance and Investments,M,Taiwan,1488028203331,8867.472,150,150,
David Hindawi,Hindawi,david-hindawi,no-pic,0,72,software,Technology,M,United States,1488028203332,1000,1847,1848,
David Lichtenstein,Lichtenstein,david-lichtenstein,david-lichtenstein,0,55,real estate,Real Estate,M,United States,1488028203332,1458,1415,1415,
David McMurtry,McMurtry,david-mcmurtry,no-pic,3.972,76,manufacturing,Manufacturing,M,United Kingdom,1488028203332,1060.941,1793,1793,
David Penaloza Alanis,Penaloza Alanis,david-penaloza-alanis,no-pic,-29.682,43,toll roads,Construction & Engineering,M,Mexico,1488028203332,1199.2,1667,1667,
David Siegel,Siegel,david-siegel-1,david-siegel-1,0,55,hedge funds,Finance and Investments,M,United States,1488028203331,4820,345,345,http://specials-images.forbesimg.com/imageserve/57e085d031358e16c589ba4b/416x416.jpg?background=000000&cropX1=192&cropX2=636&cropY1=105&cropY2=550
David Teoh,Teoh,david-teoh,no-pic,-18.021,60,telecom,Telecom,M,Australia,1488028203332,1585.704,1320,1320,
Devendra Jain,Jain,devendra-jain,devendra-jain,0,87,chemicals,Manufacturing,M,India,1488028203332,1456.408,1418,1418,http://specials-images.forbesimg.com/imageserve/bf1741ac1959019444c9f5a8a89a413d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=44&cropY2=788
Diane Kemper,Kemper,diane-kemper,no-pic-female,0,71,real estate,Real Estate,F,United States,1488028203331,3035,666,666,
Dieter Schaub,Schaub,dieter-schaub,no-pic,0,79,media,Media & Entertainment,M,Germany,1488028203332,1506.934,1376,1376,
Dik Wessels,Wessels,dik-wessels,no-pic,0,71,"construction, engineering",Construction & Engineering,M,Netherlands,1488028203331,2278.481,931,931,
Djoko Susanto,Susanto,djoko-susanto,djoko-susanto,0,67,supermarkets,Fashion & Retail,M,Indonesia,1488028203332,1332.556,1537,1537,
Dominika & Sebastian Kulczyk,Kulczyk,dominika-sebastian-kulczyk,dominika-sebastian-kulczyk,-0.836,,diversified,Finance and Investments,,Poland,1488028203331,3675.086,528,528,
Don Gao,Gao,don-gao,no-pic,0,52,power tools,Manufacturing,M,China,1488028203332,1279.553,1588,1588,
Dona Bertarelli,Bertarelli,dona-bertarelli,dona-bertarelli,-0.916,49,biotech,Diversified,F,Switzerland,1488028203331,4364.312,406,406,
Donald Friese,Friese,donald-friese,no-pic,0,76,manufacturing,Manufacturing,M,United States,1488028203332,1200,1664,1664,
Dorrance Hamilton & family,Hamilton,dorrance-hamilton,dorrance-hamilton,0.575,88,Campbell Soup,Food and Beverage,F,United States,1488028203332,1282.972,1581,1581,
Dou Zhenggang,Dou,dou-zhenggang,no-pic,0,63,"energy, chemicals",Diversified,M,China,1488028203332,1480.647,1401,1401,
Douglas Leone,Leone,douglas-leone,douglas-leone,-7.11,59,venture capital,Finance and Investments,M,United States,1488028203331,2909.975,697,697,http://specials-images.forbesimg.com/imageserve/5ad0bdad8a26773d498e66b34823ca34/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=34&cropY2=778
E. Joe Shoen,Shoen,e-joe-shoen,e-joe-shoen,-3.052,67,U-Haul,Automotive,M,United States,1488028203331,2544.914,810,810,
Eddy Kusnadi Sariaatmadja,Sariaatmadja,eddy-kusnadi-sariaatmadja,eddy-kusnadi-sariaatmadja,0,63,"media, tech",Media & Entertainment,M,Indonesia,1488028203332,1346.308,1512,1512,
Edouard Carmignac,Carmignac,edouard-carmignac,edouard-carmignac,0,69,asset management,Finance and Investments,M,France,1488028203332,1641.775,1273,1273,
Emanuella Barilla,Barilla,emanuella-barilla,no-pic-female,0,50,Barilla pasta,Food and Beverage,F,Italy,1488028203332,1334.746,1529,1529,
Eric Ya Shen,Shen,eric-ya-shen,no-pic,-27.225,46,online apparel retail,Technology,M,China,1488028203332,1079.4,1775,1775,
Erik Selin,Selin,erik-selin,no-pic,-4.376,49,real estate,Real Estate,M,Sweden,1488028203331,2125.07,983,983,
Eugene Kaspersky,Kaspersky,eugene-kaspersky,eugene-kaspersky,0,51,software,Technology,M,Russia,1488028203332,1270,1597,1597,
Eva Maria Braun-Luedicke,Braun-Luedicke,eva-maria-braun-luedicke,no-pic-female,0,30,medical technology,Healthcare,F,Germany,1488028203332,1340.642,1522,1523,
Evan Sharp,Sharp,evan-sharp,evan-sharp,0,34,Pinterest,Technology,M,United States,1488028203332,1050,1805,1805,
Evan Spiegel,Spiegel,evan-spiegel,evan-spiegel,0,26,Snapchat,Technology,M,United States,1488028203331,4030,453,453,http://specials-images.forbesimg.com/imageserve/585861daa7ea431d601b5353/416x416.jpg?background=000000&cropX1=105&cropX2=735&cropY1=18&cropY2=648
Faisal Bin Qassim Al Thani,Al Thani,faisal-bin-qassim-al-thani,faisal-bin-qassim-al-thani,0,69,"hotels, diversified",Diversified,M,Qatar,1488028203331,2384.966,884,884,
Fan Zhaoxia,Fan,fan-zhaoxia,no-pic-female,7.975,49,photovoltaic equipment,Energy,F,China,1488028203332,1093.67,1767,1767,
Fang Tonghua & family,Fang,fang-tonghua,no-pic,24.177,54,pharmaceuticals,Healthcare,M,China,1488028203332,1557.431,1343,1343,
Fatma Yazici,Yazici,fatma-yazici,no-pic-female,0,43,diversified,Diversified,F,Turkey,1488028203332,1062.184,1791,1791,
Forrest Preston,Preston,forrest-preston,no-pic,0,83,health care,Healthcare,M,United States,1488028203332,1393.722,1474,1474,http://specials-images.forbesimg.com/imageserve/580f60ee31358e2383160e88/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=89&cropY2=833
Frank Wang,Wang,frank-wang,frank-wang,0,36,drones,Technology,M,China,1488028203331,3600,539,539,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617
Friederike Braun-Luedicke,Braun-Luedicke,friederike-braun-luedicke,no-pic-female,0,33,medical technology,Healthcare,F,Germany,1488028203332,1340.642,1522,1524,
Friedrich Knapp,Knapp,friedrich-knapp,friedrich-knapp,0,65,fashion retail,Fashion & Retail,M,Germany,1488028203332,1391.628,1477,1477,
Fu Guangming & family,Fu,fu-guangming,fu-guangming,0.001,63,poultry,Food and Beverage,M,China,1488028203332,1493.458,1387,1387,
Gail Miller,Miller,gail-miller,gail-miller,0,73,"basketball, car dealers",Sports,F,United States,1488028203332,1752.94,1216,1216,http://specials-images.forbesimg.com/imageserve/57e34b4d31358e16c589cf89/416x416.jpg?background=000000&cropX1=172&cropX2=618&cropY1=300&cropY2=746
Gao Tianguo,Gao,gao-tianguo,no-pic,-43.943,65,"real estate, finance",Real Estate,M,China,1488028203331,2803.996,728,728,
Garrett Camp,Camp,garrett-camp,garrett-camp,0,38,Uber Technologies,Technology,M,Canada,1488028203331,6300,235,235,http://specials-images.forbesimg.com/imageserve/564a65c3e4b0ffa7afe7347d/416x416.jpg?background=000000&cropX1=16&cropX2=696&cropY1=21&cropY2=701
Gary Fegel,Fegel,gary-fegel,gary-fegel,0,43,commodities trading,Metals & Mining,M,Switzerland,1488028203332,1200,1664,1665,//specials-images.forbesimg.com/imageserve/55006594e4b095aa68c82ad0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=16&cropY2=760
Gary Rollins,Rollins,gary-rollins,no-pic,-26.211,72,pest control,Service,M,United States,1488028203331,3543.125,547,547,http://specials-images.forbesimg.com/imageserve/57e11eb8a7ea430a8a1a0944/416x416.jpg?background=000000&cropX1=166&cropX2=649&cropY1=106&cropY2=589
Gautam Adani,Adani,gautam-adani-1,no-pic,0,54,"commodities, ports",Diversified,M,India,1488028203331,5896.848,256,256,
Geng Jianming & family,Geng,geng-jianming,geng-jianming,-28.367,54,real estate,Real Estate,M,China,1488028203332,1798.727,1186,1186,
George Marcus,Marcus,george-marcus,no-pic,0.974,75,real estate,Real Estate,M,United States,1488028203332,1034.854,1819,1819,
Gudrun Heine,Heine,gudrun-heine,no-pic-female,0,62,medical devices,Healthcare,F,Germany,1488028203331,2070.755,1006,1006,
Guenter Herz & family,Herz,guenter-herz,no-pic,0,76,coffee,Finance and Investments,M,Germany,1488028203331,3484.8,561,562,
Guido Barilla,Barilla,guido-barilla,guido-barilla,0,58,Barilla pasta,Food and Beverage,M,Italy,1488028203332,1334.746,1529,1530,
Gustav Magnar Witzoe,Witzoe,gustav-magnar-witzoe,no-pic,8.306,23,fish farming,Food and Beverage,M,Norway,1488028203332,1601.949,1296,1296,
Gustavo Denegri,Denegri,gustavo-denegri,gustavo-denegri,3.991,81,medical tests,Healthcare,M,Italy,1488028203332,1651.667,1265,1265,
Habil Khorakiwala,Khorakiwala,habil-khorakiwala,habil-khorakiwala,0,74,pharmaceuticals,Healthcare,M,India,1488028203332,1350.599,1509,1509,
Hal Jackman,Jackman,hal-jackman,hal-jackman,-0.013,84,"insurance, investments",Finance and Investments,M,Canada,1488028203332,1397.068,1467,1467,
Han Tao,Han,han-tao,no-pic,8.804,56,electronics components,Manufacturing,M,China,1488028203332,1455.258,1419,1419,
Hans Georg Naeder,Naeder,hans-georg-naeder,hans-georg-naeder,0,55,prosthetics,Manufacturing,M,Germany,1488028203331,2192.564,958,958,
Harsh Goenka,Goenka,harsh-goenka,harsh-goenka,0,59,diversified,Diversified,M,India,1488028203332,1688.871,1242,1242,http://specials-images.forbesimg.com/imageserve/57d88fc5a7ea430a8a19de14/416x416.jpg?background=000000&cropX1=97&cropX2=472&cropY1=301&cropY2=676
Harsh Mariwala,Mariwala,harsh-mariwala,harsh-mariwala,0,65,consumer goods,Food and Beverage,M,India,1488028203332,1827.066,1161,1161,http://specials-images.forbesimg.com/imageserve/57d887c531358e16c5898f99/416x416.jpg?background=000000&cropX1=209&cropX2=525&cropY1=219&cropY2=535
Hasmukh Chudgar,Chudgar,hasmukh-chudgar,no-pic,0,83,pharmaceuticals,Healthcare,M,India,1488028203331,2437.356,869,869,
He Yamin & family,He,he-yamin,no-pic,8.821,60,manufacturing,Manufacturing,M,China,1488028203332,1619.19,1288,1288,
He Zhiping,He,he-zhiping,he-zhiping,-0.448,53,investments,Finance and Investments,M,China,1488028203332,1034.13,1820,1820,
Hedda im Brahm Droege,Droege,hedda-im-brahm-droege,no-pic-female,0,62,consulting,Service,F,Germany,1488028203331,2115.242,985,985,
Heikki Kyostila,Kyostila,heikki-kyostila,no-pic,0,71,dental products,Healthcare,M,Finland,1488028203331,2137.485,976,976,
Heinrich Deichmann & family,Deichmann,heinrich-deichmann,heinrich-deichmann,0,54,footwear,Fashion & Retail,M,Germany,1488028203331,7701.754,178,178,
Herb Chambers,Chambers,herb-chambers,herb-chambers,0,75,car dealerships,Automotive,M,United States,1488028203332,1315.006,1552,1552,
Herman Langness,Langness,herman-langness,no-pic,0,,food wholesale and retail,Food and Beverage,M,Germany,1488028203331,1992.865,1057,1057,
Hideyuki Busujima,Busujima,hideyuki-busujima,no-pic,-8.2,64,pachinko machines,Gambling & Casinos,M,Japan,1488028203332,1163.987,1696,1696,
Hilton Schlosberg,Schlosberg,hilton-schlosberg,no-pic,-39.719,64,energy drinks,Food and Beverage,M,United Kingdom,1488028203332,1436.111,1436,1436,
Hong Piow Teh,Teh,hong-piow-teh,hong-piow-teh,-0.659,86,banking,Finance and Investments,M,Malaysia,1488028203331,4721.744,360,360,
Hong Seok-Joh,Hong,hong-seok-joh,hong-seok-joh,37.903,64,convenience stores,Fashion & Retail,M,South Korea,1488028203332,1628.383,1283,1283,http://specials-images.forbesimg.com/imageserve/571a73914bbe6f6f9574db13/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=137&cropY2=881
Horst Wortmann,Wortmann,horst-wortmann,horst-wortmann,0,75,footwear,Fashion & Retail,M,Germany,1488028203331,2007.768,1041,1041,
Hortensia Herrero,Herrero,hortensia-herrero,hortensia-herrero,0,66,supermarkets,Fashion & Retail,F,Spain,1488028203331,2794.95,735,735,
Howard Jenkins,Jenkins,howard-jenkins,no-pic,0,65,Publix,Fashion & Retail,M,United States,1488028203332,1043,1812,1812,
Hua Yong,Hua,hua-yong,no-pic,52.64,53,software,Technology,M,China,1488028203332,1094.428,1766,1766,
Huang Chulong,Huang,huang-chulong,huang-chulong,0,58,real estate,Real Estate,M,Canada,1488028203332,1479.875,1402,1402,
Huang Hongyun & family,Huang,huang-hongyun,huang-hongyun,-4.187,50,real estate,Real Estate,M,China,1488028203332,1841.776,1152,1152,
Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,24.847,58,amusement parks,Media & Entertainment,M,China,1488028203332,1529.748,1362,1362,
Huang Qisen,Huang,huang-qisen,huang-qisen,2.73,52,real estate,Real Estate,M,China,1488028203332,1206.865,1652,1652,
Huang Wenji & family,Huang,huang-wenji,no-pic,-43.499,48,umbrellas,Manufacturing,M,China,1488028203332,1341.219,1520,1520,
Huang Yi,Huang,huang-yi,no-pic,-2.086,55,auto distribution,Automotive,M,Hong Kong,1488028203332,1284.541,1578,1578,
Hubertus Benteler,Benteler,hubertus-benteler,hubertus-benteler,0,70,auto parts,Automotive,M,Germany,1488028203331,1987.126,1059,1059,
Hur Young-In,Hur,hur-young-in,hur-young-in,5.627,67,"bakeries, fast food",Food and Beverage,M,South Korea,1488028203332,1600.302,1299,1299,http://specials-images.forbesimg.com/imageserve/571a72d94bbe6f6f9574db10/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=132&cropY2=876
Husain Djojonegoro & family,Djojonegoro,husain-djojonegoro,no-pic,0,67,consumer goods,Manufacturing,M,Indonesia,1488028203332,1165.506,1694,1694,
Hussain Sajwani,Sajwani,hussain-sajwani,hussain-sajwani,0,63,real estate,Real Estate,M,United Arab Emirates,1488028203331,3755.574,511,511,
Ion Tiriac,Tiriac,ion-tiriac,ion-tiriac,0,77,"banking, insurance",Finance and Investments,M,Romania,1488028203332,1136.614,1724,1724,
J. Christopher Flowers,Flowers,j-christopher-flowers,no-pic,-0.008,59,investments,Finance and Investments,M,United States,1488028203332,1182.089,1680,1680,
J. Tomilson Hill,Hill,j-tomilson-hill,j-tomilson-hill,-4.769,68,investments,Finance and Investments,M,United States,1488028203332,1235.756,1630,1630,
Jack Cowin,Cowin,jack-cowin,jack-cowin,-9.284,74,fast food,Food and Beverage,M,Australia,1488028203332,1705.664,1232,1232,
