name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Gail Miller,Miller,gail-miller,gail-miller,0,"basketball, car dealers",Sports,F,United States,1488028203332,1752.94,1216,1216
Gao Dekang & family,Gao,gao-dekang,gao-dekang,-6.712,apparel,Fashion & Retail,M,China,1488028203332,1077.159,1777,1777
Gao Tianguo,Gao,gao-tianguo,no-pic,-43.943,"real estate, finance",Real Estate,M,China,1488028203331,2803.996,728,728
Garrett Camp,Camp,garrett-camp,garrett-camp,0,Uber Technologies,Technology,M,Canada,1488028203331,6300,235,235
Gary Fegel,Fegel,gary-fegel,gary-fegel,0,commodities trading,Metals & Mining,M,Switzerland,1488028203332,1200,1664,1665
Gary Magness,Magness,gary-magness,gary-magness,1.822,"cable TV, investments",Media & Entertainment,M,United States,1488028203332,1408.546,1457,1457
Gary Rollins,Rollins,gary-rollins,no-pic,-26.211,pest control,Service,M,United States,1488028203331,3543.125,547,547
Gautam Adani,Adani,gautam-adani-1,no-pic,0,"commodities, ports",Diversified,M,India,1488028203331,5896.848,256,256
Gavril Yushvaev,Yushvaev,gavril-yushvaev,gavril-yushvaev,0,"precious metals, real estate",Finance and Investments,M,Russia,1488028203332,1174.023,1688,1688
Geng Jianming & family,Geng,geng-jianming,geng-jianming,-28.367,real estate,Real Estate,M,China,1488028203332,1798.727,1186,1186
